Year,FacilityID,TechID,Technology,Region,Company,TechGroup,DeploymentCapacity_kt,BaselineCapacity_kt
2049,Yeosu_LG_Chem,NCC_HT_Electric,E-cracker,Yeosu,LG Chem,NCC,3380.0,3380
2050,Yeosu_LG_Chem,NCC_HT_Electric,E-cracker,Yeosu,LG Chem,NCC,3380.0,3380
2031,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2032,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2033,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2034,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2035,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2036,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2037,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2038,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2039,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2040,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2041,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2042,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2043,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2044,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2045,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2046,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2047,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2048,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2026,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2027,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2028,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2029,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2030,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2031,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2032,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2033,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2034,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2035,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2036,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2037,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2038,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2039,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2040,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2041,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2042,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2043,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2044,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2045,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2046,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2047,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2048,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2049,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2050,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2038,Yeosu_LG_Chem,C4_MT_HeatPump,Heat pump,Yeosu,LG Chem,C4,300.0,300
2039,Yeosu_LG_Chem,C4_MT_HeatPump,Heat pump,Yeosu,LG Chem,C4,300.0,300
2040,Yeosu_LG_Chem,C4_MT_HeatPump,Heat pump,Yeosu,LG Chem,C4,300.0,300
2041,Yeosu_LG_Chem,C4_MT_HeatPump,Heat pump,Yeosu,LG Chem,C4,300.0,300
2042,Yeosu_LG_Chem,C4_MT_HeatPump,Heat pump,Yeosu,LG Chem,C4,300.0,300
2043,Yeosu_LG_Chem,C4_MT_HeatPump,Heat pump,Yeosu,LG Chem,C4,300.0,300
2044,Yeosu_LG_Chem,C4_MT_HeatPump,Heat pump,Yeosu,LG Chem,C4,300.0,300
2045,Yeosu_LG_Chem,C4_MT_HeatPump,Heat pump,Yeosu,LG Chem,C4,300.0,300
2046,Yeosu_LG_Chem,C4_MT_HeatPump,Heat pump,Yeosu,LG Chem,C4,300.0,300
2047,Yeosu_LG_Chem,C4_MT_HeatPump,Heat pump,Yeosu,LG Chem,C4,300.0,300
2048,Yeosu_LG_Chem,C4_MT_HeatPump,Heat pump,Yeosu,LG Chem,C4,300.0,300
2049,Yeosu_LG_Chem,C4_MT_HeatPump,Heat pump,Yeosu,LG Chem,C4,300.0,300
2050,Yeosu_LG_Chem,C4_MT_HeatPump,Heat pump,Yeosu,LG Chem,C4,300.0,300
2049,Yeosu_GS_Caltex,NCC_HT_Electric,E-cracker,Yeosu,GS Caltex,NCC,900.0,900
2050,Yeosu_GS_Caltex,NCC_HT_Electric,E-cracker,Yeosu,GS Caltex,NCC,900.0,900
2030,Yeosu_GS_Caltex,NCC_MT_HeatPump,Heat pump,Yeosu,GS Caltex,NCC,900.0,900
2031,Yeosu_GS_Caltex,NCC_MT_HeatPump,Heat pump,Yeosu,GS Caltex,NCC,900.0,900
2032,Yeosu_GS_Caltex,NCC_MT_HeatPump,Heat pump,Yeosu,GS Caltex,NCC,900.0,900
2033,Yeosu_GS_Caltex,NCC_MT_HeatPump,Heat pump,Yeosu,GS Caltex,NCC,900.0,900
2034,Yeosu_GS_Caltex,NCC_MT_HeatPump,Heat pump,Yeosu,GS Caltex,NCC,900.0,900
2035,Yeosu_GS_Caltex,NCC_MT_HeatPump,Heat pump,Yeosu,GS Caltex,NCC,900.0,900
2036,Yeosu_GS_Caltex,NCC_MT_HeatPump,Heat pump,Yeosu,GS Caltex,NCC,900.0,900
2037,Yeosu_GS_Caltex,NCC_MT_HeatPump,Heat pump,Yeosu,GS Caltex,NCC,900.0,900
2038,Yeosu_GS_Caltex,NCC_MT_HeatPump,Heat pump,Yeosu,GS Caltex,NCC,900.0,900
2039,Yeosu_GS_Caltex,NCC_MT_HeatPump,Heat pump,Yeosu,GS Caltex,NCC,900.0,900
2040,Yeosu_GS_Caltex,NCC_MT_HeatPump,Heat pump,Yeosu,GS Caltex,NCC,900.0,900
2041,Yeosu_GS_Caltex,NCC_MT_HeatPump,Heat pump,Yeosu,GS Caltex,NCC,900.0,900
2042,Yeosu_GS_Caltex,NCC_MT_HeatPump,Heat pump,Yeosu,GS Caltex,NCC,900.0,900
2043,Yeosu_GS_Caltex,NCC_MT_HeatPump,Heat pump,Yeosu,GS Caltex,NCC,900.0,900
2044,Yeosu_GS_Caltex,NCC_MT_HeatPump,Heat pump,Yeosu,GS Caltex,NCC,900.0,900
2045,Yeosu_GS_Caltex,NCC_MT_HeatPump,Heat pump,Yeosu,GS Caltex,NCC,900.0,900
2046,Yeosu_GS_Caltex,NCC_MT_HeatPump,Heat pump,Yeosu,GS Caltex,NCC,900.0,900
2047,Yeosu_GS_Caltex,NCC_MT_HeatPump,Heat pump,Yeosu,GS Caltex,NCC,900.0,900
2048,Yeosu_GS_Caltex,NCC_MT_HeatPump,Heat pump,Yeosu,GS Caltex,NCC,900.0,900
2026,Yeosu_GS_Caltex,BTX_MT_HeatPump,Heat pump,Yeosu,GS Caltex,BTX,600.0,600
2027,Yeosu_GS_Caltex,BTX_MT_HeatPump,Heat pump,Yeosu,GS Caltex,BTX,600.0,600
2028,Yeosu_GS_Caltex,BTX_MT_HeatPump,Heat pump,Yeosu,GS Caltex,BTX,600.0,600
2029,Yeosu_GS_Caltex,BTX_MT_HeatPump,Heat pump,Yeosu,GS Caltex,BTX,600.0,600
2030,Yeosu_GS_Caltex,BTX_MT_HeatPump,Heat pump,Yeosu,GS Caltex,BTX,600.0,600
2031,Yeosu_GS_Caltex,BTX_MT_HeatPump,Heat pump,Yeosu,GS Caltex,BTX,600.0,600
2032,Yeosu_GS_Caltex,BTX_MT_HeatPump,Heat pump,Yeosu,GS Caltex,BTX,600.0,600
2033,Yeosu_GS_Caltex,BTX_MT_HeatPump,Heat pump,Yeosu,GS Caltex,BTX,600.0,600
2034,Yeosu_GS_Caltex,BTX_MT_HeatPump,Heat pump,Yeosu,GS Caltex,BTX,600.0,600
2035,Yeosu_GS_Caltex,BTX_MT_HeatPump,Heat pump,Yeosu,GS Caltex,BTX,600.0,600
2036,Yeosu_GS_Caltex,BTX_MT_HeatPump,Heat pump,Yeosu,GS Caltex,BTX,600.0,600
2037,Yeosu_GS_Caltex,BTX_MT_HeatPump,Heat pump,Yeosu,GS Caltex,BTX,600.0,600
2038,Yeosu_GS_Caltex,BTX_MT_HeatPump,Heat pump,Yeosu,GS Caltex,BTX,600.0,600
2039,Yeosu_GS_Caltex,BTX_MT_HeatPump,Heat pump,Yeosu,GS Caltex,BTX,600.0,600
2040,Yeosu_GS_Caltex,BTX_MT_HeatPump,Heat pump,Yeosu,GS Caltex,BTX,600.0,600
2041,Yeosu_GS_Caltex,BTX_MT_HeatPump,Heat pump,Yeosu,GS Caltex,BTX,600.0,600
2042,Yeosu_GS_Caltex,BTX_MT_HeatPump,Heat pump,Yeosu,GS Caltex,BTX,600.0,600
2043,Yeosu_GS_Caltex,BTX_MT_HeatPump,Heat pump,Yeosu,GS Caltex,BTX,600.0,600
2044,Yeosu_GS_Caltex,BTX_MT_HeatPump,Heat pump,Yeosu,GS Caltex,BTX,600.0,600
2045,Yeosu_GS_Caltex,BTX_MT_HeatPump,Heat pump,Yeosu,GS Caltex,BTX,600.0,600
2046,Yeosu_GS_Caltex,BTX_MT_HeatPump,Heat pump,Yeosu,GS Caltex,BTX,600.0,600
2047,Yeosu_GS_Caltex,BTX_MT_HeatPump,Heat pump,Yeosu,GS Caltex,BTX,600.0,600
2048,Yeosu_GS_Caltex,BTX_MT_HeatPump,Heat pump,Yeosu,GS Caltex,BTX,600.0,600
2049,Yeosu_GS_Caltex,BTX_MT_HeatPump,Heat pump,Yeosu,GS Caltex,BTX,600.0,600
2050,Yeosu_GS_Caltex,BTX_MT_HeatPump,Heat pump,Yeosu,GS Caltex,BTX,600.0,600
2038,Yeosu_GS_Caltex,C4_MT_HeatPump,Heat pump,Yeosu,GS Caltex,C4,200.0,200
2039,Yeosu_GS_Caltex,C4_MT_HeatPump,Heat pump,Yeosu,GS Caltex,C4,200.0,200
2040,Yeosu_GS_Caltex,C4_MT_HeatPump,Heat pump,Yeosu,GS Caltex,C4,200.0,200
2041,Yeosu_GS_Caltex,C4_MT_HeatPump,Heat pump,Yeosu,GS Caltex,C4,200.0,200
2042,Yeosu_GS_Caltex,C4_MT_HeatPump,Heat pump,Yeosu,GS Caltex,C4,200.0,200
2043,Yeosu_GS_Caltex,C4_MT_HeatPump,Heat pump,Yeosu,GS Caltex,C4,200.0,200
2044,Yeosu_GS_Caltex,C4_MT_HeatPump,Heat pump,Yeosu,GS Caltex,C4,200.0,200
2045,Yeosu_GS_Caltex,C4_MT_HeatPump,Heat pump,Yeosu,GS Caltex,C4,200.0,200
2046,Yeosu_GS_Caltex,C4_MT_HeatPump,Heat pump,Yeosu,GS Caltex,C4,200.0,200
2047,Yeosu_GS_Caltex,C4_MT_HeatPump,Heat pump,Yeosu,GS Caltex,C4,200.0,200
2048,Yeosu_GS_Caltex,C4_MT_HeatPump,Heat pump,Yeosu,GS Caltex,C4,200.0,200
2049,Yeosu_GS_Caltex,C4_MT_HeatPump,Heat pump,Yeosu,GS Caltex,C4,200.0,200
2050,Yeosu_GS_Caltex,C4_MT_HeatPump,Heat pump,Yeosu,GS Caltex,C4,200.0,200
2049,Yeosu_Lotte_Chemical,NCC_HT_Electric,E-cracker,Yeosu,Lotte Chemical,NCC,1000.0,1000
2050,Yeosu_Lotte_Chemical,NCC_HT_Electric,E-cracker,Yeosu,Lotte Chemical,NCC,1000.0,1000
2031,Yeosu_Lotte_Chemical,NCC_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,NCC,1000.0,1000
2032,Yeosu_Lotte_Chemical,NCC_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,NCC,1000.0,1000
2033,Yeosu_Lotte_Chemical,NCC_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,NCC,1000.0,1000
2034,Yeosu_Lotte_Chemical,NCC_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,NCC,1000.0,1000
2035,Yeosu_Lotte_Chemical,NCC_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,NCC,1000.0,1000
2036,Yeosu_Lotte_Chemical,NCC_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,NCC,1000.0,1000
2037,Yeosu_Lotte_Chemical,NCC_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,NCC,1000.0,1000
2038,Yeosu_Lotte_Chemical,NCC_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,NCC,1000.0,1000
2039,Yeosu_Lotte_Chemical,NCC_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,NCC,1000.0,1000
2040,Yeosu_Lotte_Chemical,NCC_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,NCC,1000.0,1000
2041,Yeosu_Lotte_Chemical,NCC_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,NCC,1000.0,1000
2042,Yeosu_Lotte_Chemical,NCC_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,NCC,1000.0,1000
2043,Yeosu_Lotte_Chemical,NCC_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,NCC,1000.0,1000
2044,Yeosu_Lotte_Chemical,NCC_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,NCC,1000.0,1000
2045,Yeosu_Lotte_Chemical,NCC_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,NCC,1000.0,1000
2046,Yeosu_Lotte_Chemical,NCC_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,NCC,1000.0,1000
2047,Yeosu_Lotte_Chemical,NCC_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,NCC,1000.0,1000
2048,Yeosu_Lotte_Chemical,NCC_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,NCC,1000.0,1000
2026,Yeosu_Lotte_Chemical,BTX_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,BTX,700.0,700
2027,Yeosu_Lotte_Chemical,BTX_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,BTX,700.0,700
2028,Yeosu_Lotte_Chemical,BTX_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,BTX,700.0,700
2029,Yeosu_Lotte_Chemical,BTX_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,BTX,700.0,700
2030,Yeosu_Lotte_Chemical,BTX_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,BTX,700.0,700
2031,Yeosu_Lotte_Chemical,BTX_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,BTX,700.0,700
2032,Yeosu_Lotte_Chemical,BTX_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,BTX,700.0,700
2033,Yeosu_Lotte_Chemical,BTX_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,BTX,700.0,700
2034,Yeosu_Lotte_Chemical,BTX_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,BTX,700.0,700
2035,Yeosu_Lotte_Chemical,BTX_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,BTX,700.0,700
2036,Yeosu_Lotte_Chemical,BTX_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,BTX,700.0,700
2037,Yeosu_Lotte_Chemical,BTX_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,BTX,700.0,700
2038,Yeosu_Lotte_Chemical,BTX_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,BTX,700.0,700
2039,Yeosu_Lotte_Chemical,BTX_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,BTX,700.0,700
2040,Yeosu_Lotte_Chemical,BTX_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,BTX,700.0,700
2041,Yeosu_Lotte_Chemical,BTX_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,BTX,700.0,700
2042,Yeosu_Lotte_Chemical,BTX_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,BTX,700.0,700
2043,Yeosu_Lotte_Chemical,BTX_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,BTX,700.0,700
2044,Yeosu_Lotte_Chemical,BTX_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,BTX,700.0,700
2045,Yeosu_Lotte_Chemical,BTX_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,BTX,700.0,700
2046,Yeosu_Lotte_Chemical,BTX_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,BTX,700.0,700
2047,Yeosu_Lotte_Chemical,BTX_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,BTX,700.0,700
2048,Yeosu_Lotte_Chemical,BTX_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,BTX,700.0,700
2049,Yeosu_Lotte_Chemical,BTX_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,BTX,700.0,700
2050,Yeosu_Lotte_Chemical,BTX_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,BTX,700.0,700
2038,Yeosu_Lotte_Chemical,C4_MT_HeatPump,Heat pump,Yeosu,Lotte Chemical,C4,250.0,250
