DeploymentID,TechID,FacilityID,Region,Company,TechGroup,Technology,BaselineCapacity_kt,MaxDeployment_kt,AbatementPotential_tCO2_per_t,TotalAbatementPotential_ktCO2,LCOA_USD_per_tCO2,CAPEX_Million_USD,CommercialYear,TRL,BaselineEmissions_tCO2_per_t,AlternativeEmissions_tCO2_per_t,CumulativeAbatement_MtCO2
NCC_HT_Hydrogen_Yeosu_LG_Chem,NCC_HT_Hydrogen,Yeosu_LG_Chem,Yeosu,LG Chem,NCC,H2-furnace,3380,3380,0.7426200000000001,2510.0556,1121.0768078878757,1081600.0,2030,5,2.9188,2.17618,2.5100556000000003
NCC_HT_Hydrogen_Yeosu_Lotte_Chemical,NCC_HT_Hydrogen,Yeosu_Lotte_Chemical,Yeosu,Lotte Chemical,NCC,H2-furnace,1000,1000,0.7426200000000001,742.62,1142.6051722313161,320000.0,2030,5,2.9188,2.17618,3.2526756
NCC_HT_Hydrogen_Ulsan_KPIC,NCC_HT_Hydrogen,Ulsan_KPIC,Ulsan,Korea Petrochemical Ind. Co.,NCC,H2-furnace,900,900,0.7426200000000001,668.3580000000001,1143.6322276087728,259200.0,2030,5,2.9188,2.17618,3.9210336000000003
NCC_HT_Hydrogen_Yeosu_GS_Caltex,NCC_HT_Hydrogen,Yeosu_GS_Caltex,Yeosu,GS Caltex,NCC,H2-furnace,900,900,0.7426200000000001,668.3580000000001,1146.002271740225,288000.0,2030,5,2.9188,2.17618,4.5893916
NCC_HT_Hydrogen_Daesan_HD_Hyundai,NCC_HT_Hydrogen,Daesan_HD_Hyundai,Daesan,HD Hyundai Chemical,NCC,H2-furnace,850,850,0.7426200000000001,631.2270000000001,1146.7156288118304,258400.0,2030,5,2.9188,2.17618,5.2206186
NCC_HT_Hydrogen_Yeosu_Hanwha_Chemical,NCC_HT_Hydrogen,Yeosu_Hanwha_Chemical,Yeosu,Hanwha Chemical,NCC,H2-furnace,850,850,0.7426200000000001,631.2270000000001,1148.0005655689952,272000.0,2030,5,2.9188,2.17618,5.8518456
NCC_HT_Hydrogen_Daesan_LG_Chem,NCC_HT_Hydrogen,Daesan_LG_Chem,Daesan,LG Chem,NCC,H2-furnace,600,600,0.7426200000000001,445.57200000000006,1160.9534723418162,182400.0,2030,5,2.9188,2.17618,6.2974176
NCC_HT_Hydrogen_Ulsan_SK_Innovation,NCC_HT_Hydrogen,Ulsan_SK_Innovation,Ulsan,SK Innovation,NCC,H2-furnace,500,500,0.7426200000000001,371.31,1168.0913440729169,144000.0,2030,5,2.9188,2.17618,6.6687276
C4_MT_ElecHeater_Daesan_LG_Chem,C4_MT_ElecHeater,Daesan_LG_Chem,Daesan,LG Chem,C4,Electric heater,100,100,-0.8535300000000001,-85.35300000000001,inf,6175.0,2026,8,1.21196,2.06549,6.5833746
NCC_MT_ElecHeater_Daesan_HD_Hyundai,NCC_MT_ElecHeater,Daesan_HD_Hyundai,Daesan,HD Hyundai Chemical,NCC,Electric heater,850,850,-1.07178,-911.0129999999999,inf,48450.0,2025,9,1.9121199999999998,2.9838999999999998,5.6723616
C4_MT_HeatPump_Daesan_LG_Chem,C4_MT_HeatPump,Daesan_LG_Chem,Daesan,LG Chem,C4,Heat pump,100,100,-0.35321999999999987,-35.32199999999999,inf,8075.0,2027,7,1.21196,1.5651799999999998,5.6370396000000005
BTX_LT_ElecCompr_Daesan_LG_Chem,BTX_LT_ElecCompr,Daesan_LG_Chem,Daesan,LG Chem,BTX,Electric motor,300,300,-0.21369000000000016,-64.10700000000004,inf,9120.0,2023,9,1.5694399999999997,1.7831299999999999,5.5729326
BTX_LT_HeatPump_Daesan_LG_Chem,BTX_LT_HeatPump,Daesan_LG_Chem,Daesan,LG Chem,BTX,Heat pump,300,300,-0.2970300000000001,-89.10900000000004,inf,11400.0,2024,9,1.5694399999999997,1.8664699999999999,5.4838236
BTX_MT_ElecHeater_Daesan_LG_Chem,BTX_MT_ElecHeater,Daesan_LG_Chem,Daesan,LG Chem,BTX,Electric heater,300,300,-0.6964500000000005,-208.93500000000014,inf,15675.0,2025,9,1.5299199999999997,2.22637,5.2748886
BTX_MT_HeatPump_Daesan_LG_Chem,BTX_MT_HeatPump,Daesan_LG_Chem,Daesan,LG Chem,BTX,Heat pump,300,300,-0.07674000000000025,-23.022000000000077,inf,19950.0,2026,8,1.5299199999999997,1.60666,5.2518666
BTX_HT_Electric_Daesan_LG_Chem,BTX_HT_Electric,Daesan_LG_Chem,Daesan,LG Chem,BTX,Electric furnace,300,300,-1.5579299999999998,-467.37899999999996,inf,62700.0,2030,5,1.8992199999999997,3.4571499999999995,4.784487599999999
NCC_LT_ElecCompr_Daesan_LG_Chem,NCC_LT_ElecCompr,Daesan_LG_Chem,Daesan,LG Chem,NCC,Electric motor,600,600,-0.2887500000000003,-173.25000000000017,inf,19950.0,2023,9,2.04195,2.3307,4.611237599999999
NCC_LT_HeatPump_Daesan_LG_Chem,NCC_LT_HeatPump,Daesan_LG_Chem,Daesan,LG Chem,NCC,Heat pump,600,600,-0.3443100000000001,-206.58600000000007,inf,25650.0,2024,9,2.04195,2.38626,4.404651599999999
NCC_MT_ElecHeater_Daesan_LG_Chem,NCC_MT_ElecHeater,Daesan_LG_Chem,Daesan,LG Chem,NCC,Electric heater,600,600,-1.07178,-643.068,inf,34200.0,2025,9,1.9121199999999998,2.9838999999999998,3.761583599999999
BTX_HT_Electric_Daesan_HD_Hyundai,BTX_HT_Electric,Daesan_HD_Hyundai,Daesan,HD Hyundai Chemical,BTX,Electric furnace,500,500,-1.5579299999999998,-778.9649999999999,inf,104500.0,2030,5,1.8992199999999997,3.4571499999999995,2.982618599999999
NCC_LT_ElecCompr_Daesan_HD_Hyundai,NCC_LT_ElecCompr,Daesan_HD_Hyundai,Daesan,HD Hyundai Chemical,NCC,Electric motor,850,850,-0.2887500000000003,-245.43750000000023,inf,28262.5,2023,9,2.04195,2.3307,2.737181099999999
NCC_LT_HeatPump_Daesan_HD_Hyundai,NCC_LT_HeatPump,Daesan_HD_Hyundai,Daesan,HD Hyundai Chemical,NCC,Heat pump,850,850,-0.3443100000000001,-292.6635000000001,inf,36337.5,2024,9,2.04195,2.38626,2.444517599999999
NCC_HT_Electric_Daesan_LG_Chem,NCC_HT_Electric,Daesan_LG_Chem,Daesan,LG Chem,NCC,E-cracker,600,600,-2.0288999999999993,-1217.3399999999995,inf,159600.0,2028,6,2.9188,4.947699999999999,1.2271775999999992
C4_LT_ElecCompr_Daesan_HD_Hyundai,C4_LT_ElecCompr,Daesan_HD_Hyundai,Daesan,HD Hyundai Chemical,C4,Electric motor,200,200,-0.28313999999999995,-56.627999999999986,inf,7220.0,2023,9,1.33176,1.6149,1.1705495999999993
C4_LT_HeatPump_Daesan_HD_Hyundai,C4_LT_HeatPump,Daesan_HD_Hyundai,Daesan,HD Hyundai Chemical,C4,Heat pump,200,200,-0.3525900000000002,-70.51800000000003,inf,9500.0,2024,9,1.33176,1.6843500000000002,1.1000315999999994
C4_MT_ElecHeater_Daesan_HD_Hyundai,C4_MT_ElecHeater,Daesan_HD_Hyundai,Daesan,HD Hyundai Chemical,C4,Electric heater,200,200,-0.8535300000000001,-170.70600000000002,inf,12350.0,2026,8,1.21196,2.06549,0.9293255999999993
C4_MT_HeatPump_Daesan_HD_Hyundai,C4_MT_HeatPump,Daesan_HD_Hyundai,Daesan,HD Hyundai Chemical,C4,Heat pump,200,200,-0.35321999999999987,-70.64399999999998,inf,16150.0,2027,7,1.21196,1.5651799999999998,0.8586815999999993
BTX_LT_ElecCompr_Daesan_HD_Hyundai,BTX_LT_ElecCompr,Daesan_HD_Hyundai,Daesan,HD Hyundai Chemical,BTX,Electric motor,500,500,-0.21369000000000016,-106.84500000000008,inf,15200.0,2023,9,1.5694399999999997,1.7831299999999999,0.7518365999999992
BTX_LT_HeatPump_Daesan_HD_Hyundai,BTX_LT_HeatPump,Daesan_HD_Hyundai,Daesan,HD Hyundai Chemical,BTX,Heat pump,500,500,-0.2970300000000001,-148.51500000000007,inf,19000.0,2024,9,1.5694399999999997,1.8664699999999999,0.6033215999999991
BTX_MT_ElecHeater_Daesan_HD_Hyundai,BTX_MT_ElecHeater,Daesan_HD_Hyundai,Daesan,HD Hyundai Chemical,BTX,Electric heater,500,500,-0.6964500000000005,-348.22500000000025,inf,26125.0,2025,9,1.5299199999999997,2.22637,0.25509659999999884
BTX_MT_HeatPump_Daesan_HD_Hyundai,BTX_MT_HeatPump,Daesan_HD_Hyundai,Daesan,HD Hyundai Chemical,BTX,Heat pump,500,500,-0.07674000000000025,-38.370000000000125,inf,33250.0,2026,8,1.5299199999999997,1.60666,0.21672659999999871
NCC_MT_HeatPump_Daesan_LG_Chem,NCC_MT_HeatPump,Daesan_LG_Chem,Daesan,LG Chem,NCC,Heat pump,600,600,-0.22367999999999988,-134.2079999999999,inf,45600.0,2026,8,1.9121199999999998,2.1357999999999997,0.0825185999999988
C4_LT_HeatPump_Daesan_LG_Chem,C4_LT_HeatPump,Daesan_LG_Chem,Daesan,LG Chem,C4,Heat pump,100,100,-0.3525900000000002,-35.259000000000015,inf,4750.0,2024,9,1.33176,1.6843500000000002,0.047259599999998785
NCC_HT_Electric_Yeosu_LG_Chem,NCC_HT_Electric,Yeosu_LG_Chem,Yeosu,LG Chem,NCC,E-cracker,3380,3380,-2.0288999999999993,-6857.681999999997,inf,946400.0,2028,6,2.9188,4.947699999999999,-6.810422399999998
NCC_MT_HeatPump_Daesan_HD_Hyundai,NCC_MT_HeatPump,Daesan_HD_Hyundai,Daesan,HD Hyundai Chemical,NCC,Heat pump,850,850,-0.22367999999999988,-190.1279999999999,inf,64600.0,2026,8,1.9121199999999998,2.1357999999999997,-7.000550399999998
C4_MT_ElecHeater_Ulsan_SK_Innovation,C4_MT_ElecHeater,Ulsan_SK_Innovation,Ulsan,SK Innovation,C4,Electric heater,100,100,-0.8535300000000001,-85.35300000000001,inf,5850.0,2026,8,1.21196,2.06549,-7.0859033999999985
C4_MT_HeatPump_Ulsan_SK_Innovation,C4_MT_HeatPump,Ulsan_SK_Innovation,Ulsan,SK Innovation,C4,Heat pump,100,100,-0.35321999999999987,-35.32199999999999,inf,7650.0,2027,7,1.21196,1.5651799999999998,-7.121225399999998
BTX_LT_ElecCompr_Ulsan_SK_Innovation,BTX_LT_ElecCompr,Ulsan_SK_Innovation,Ulsan,SK Innovation,BTX,Electric motor,300,300,-0.21369000000000016,-64.10700000000004,inf,8640.0,2023,9,1.5694399999999997,1.7831299999999999,-7.185332399999998
BTX_LT_HeatPump_Ulsan_SK_Innovation,BTX_LT_HeatPump,Ulsan_SK_Innovation,Ulsan,SK Innovation,BTX,Heat pump,300,300,-0.2970300000000001,-89.10900000000004,inf,10800.0,2024,9,1.5694399999999997,1.8664699999999999,-7.274441399999999
BTX_MT_ElecHeater_Ulsan_SK_Innovation,BTX_MT_ElecHeater,Ulsan_SK_Innovation,Ulsan,SK Innovation,BTX,Electric heater,300,300,-0.6964500000000005,-208.93500000000014,inf,14850.0,2025,9,1.5299199999999997,2.22637,-7.483376399999999
BTX_MT_HeatPump_Ulsan_SK_Innovation,BTX_MT_HeatPump,Ulsan_SK_Innovation,Ulsan,SK Innovation,BTX,Heat pump,300,300,-0.07674000000000025,-23.022000000000077,inf,18900.0,2026,8,1.5299199999999997,1.60666,-7.506398399999999
BTX_HT_Electric_Ulsan_SK_Innovation,BTX_HT_Electric,Ulsan_SK_Innovation,Ulsan,SK Innovation,BTX,Electric furnace,300,300,-1.5579299999999998,-467.37899999999996,inf,59400.0,2030,5,1.8992199999999997,3.4571499999999995,-7.9737773999999995
NCC_LT_ElecCompr_Ulsan_SK_Innovation,NCC_LT_ElecCompr,Ulsan_SK_Innovation,Ulsan,SK Innovation,NCC,Electric motor,500,500,-0.2887500000000003,-144.37500000000014,inf,15750.0,2023,9,2.04195,2.3307,-8.1181524
NCC_LT_HeatPump_Ulsan_SK_Innovation,NCC_LT_HeatPump,Ulsan_SK_Innovation,Ulsan,SK Innovation,NCC,Heat pump,500,500,-0.3443100000000001,-172.15500000000006,inf,20250.0,2024,9,2.04195,2.38626,-8.2903074
NCC_MT_ElecHeater_Ulsan_SK_Innovation,NCC_MT_ElecHeater,Ulsan_SK_Innovation,Ulsan,SK Innovation,NCC,Electric heater,500,500,-1.07178,-535.89,inf,27000.0,2025,9,1.9121199999999998,2.9838999999999998,-8.8261974
NCC_MT_HeatPump_Ulsan_SK_Innovation,NCC_MT_HeatPump,Ulsan_SK_Innovation,Ulsan,SK Innovation,NCC,Heat pump,500,500,-0.22367999999999988,-111.83999999999995,inf,36000.0,2026,8,1.9121199999999998,2.1357999999999997,-8.938037399999999
NCC_HT_Electric_Ulsan_SK_Innovation,NCC_HT_Electric,Ulsan_SK_Innovation,Ulsan,SK Innovation,NCC,E-cracker,500,500,-2.0288999999999993,-1014.4499999999996,inf,126000.0,2028,6,2.9188,4.947699999999999,-9.952487399999999
C4_LT_ElecCompr_Ulsan_KPIC,C4_LT_ElecCompr,Ulsan_KPIC,Ulsan,Korea Petrochemical Ind. Co.,C4,Electric motor,150,150,-0.28313999999999995,-42.47099999999999,inf,5130.0,2023,9,1.33176,1.6149,-9.994958399999998
C4_LT_HeatPump_Ulsan_KPIC,C4_LT_HeatPump,Ulsan_KPIC,Ulsan,Korea Petrochemical Ind. Co.,C4,Heat pump,150,150,-0.3525900000000002,-52.88850000000003,inf,6750.0,2024,9,1.33176,1.6843500000000002,-10.047846899999998
C4_MT_ElecHeater_Ulsan_KPIC,C4_MT_ElecHeater,Ulsan_KPIC,Ulsan,Korea Petrochemical Ind. Co.,C4,Electric heater,150,150,-0.8535300000000001,-128.0295,inf,8775.0,2026,8,1.21196,2.06549,-10.1758764
C4_MT_HeatPump_Ulsan_KPIC,C4_MT_HeatPump,Ulsan_KPIC,Ulsan,Korea Petrochemical Ind. Co.,C4,Heat pump,150,150,-0.35321999999999987,-52.98299999999998,inf,11475.0,2027,7,1.21196,1.5651799999999998,-10.2288594
BTX_LT_ElecCompr_Ulsan_KPIC,BTX_LT_ElecCompr,Ulsan_KPIC,Ulsan,Korea Petrochemical Ind. Co.,BTX,Electric motor,400,400,-0.21369000000000016,-85.47600000000006,inf,11520.0,2023,9,1.5694399999999997,1.7831299999999999,-10.3143354
BTX_LT_HeatPump_Ulsan_KPIC,BTX_LT_HeatPump,Ulsan_KPIC,Ulsan,Korea Petrochemical Ind. Co.,BTX,Heat pump,400,400,-0.2970300000000001,-118.81200000000005,inf,14400.0,2024,9,1.5694399999999997,1.8664699999999999,-10.4331474
BTX_MT_ElecHeater_Ulsan_KPIC,BTX_MT_ElecHeater,Ulsan_KPIC,Ulsan,Korea Petrochemical Ind. Co.,BTX,Electric heater,400,400,-0.6964500000000005,-278.58000000000015,inf,19800.0,2025,9,1.5299199999999997,2.22637,-10.7117274
BTX_MT_HeatPump_Ulsan_KPIC,BTX_MT_HeatPump,Ulsan_KPIC,Ulsan,Korea Petrochemical Ind. Co.,BTX,Heat pump,400,400,-0.07674000000000025,-30.6960000000001,inf,25200.0,2026,8,1.5299199999999997,1.60666,-10.7424234
BTX_HT_Electric_Ulsan_KPIC,BTX_HT_Electric,Ulsan_KPIC,Ulsan,Korea Petrochemical Ind. Co.,BTX,Electric furnace,400,400,-1.5579299999999998,-623.1719999999999,inf,79200.0,2030,5,1.8992199999999997,3.4571499999999995,-11.3655954
NCC_LT_ElecCompr_Ulsan_KPIC,NCC_LT_ElecCompr,Ulsan_KPIC,Ulsan,Korea Petrochemical Ind. Co.,NCC,Electric motor,900,900,-0.2887500000000003,-259.8750000000002,inf,28350.0,2023,9,2.04195,2.3307,-11.6254704
NCC_LT_HeatPump_Ulsan_KPIC,NCC_LT_HeatPump,Ulsan_KPIC,Ulsan,Korea Petrochemical Ind. Co.,NCC,Heat pump,900,900,-0.3443100000000001,-309.87900000000013,inf,36450.0,2024,9,2.04195,2.38626,-11.935349400000002
NCC_MT_ElecHeater_Ulsan_KPIC,NCC_MT_ElecHeater,Ulsan_KPIC,Ulsan,Korea Petrochemical Ind. Co.,NCC,Electric heater,900,900,-1.07178,-964.602,inf,48600.0,2025,9,1.9121199999999998,2.9838999999999998,-12.899951400000003
