DeploymentID,TechID,FacilityID,Region,Company,TechGroup,Technology,BaselineCapacity_kt,MaxDeployment_kt,AbatementPotential_tCO2_per_t,TotalAbatementPotential_ktCO2,LCOA_USD_per_tCO2,CAPEX_Million_USD,CommercialYear,TRL,BaselineEmissions_tCO2_per_t,AlternativeEmissions_tCO2_per_t,CumulativeAbatement_MtCO2
NCC_MT_HeatPump_Ulsan_KPIC,NCC_MT_HeatPump,Ulsan_KPIC,Ulsan,Korea Petrochemical Ind. Co.,NCC,Heat pump,900,900,-0.22367999999999988,-201.3119999999999,inf,64800.0,2026,8,1.9121199999999998,2.1357999999999997,-13.101263400000002
C4_LT_ElecCompr_Daesan_LG_Chem,C4_LT_ElecCompr,Daesan_LG_Chem,Daesan,LG Chem,C4,Electric motor,100,100,-0.28313999999999995,-28.313999999999993,inf,3610.0,2023,9,1.33176,1.6149,-13.129577400000002
NCC_HT_Electric_Ulsan_KPIC,NCC_HT_Electric,Ulsan_KPIC,Ulsan,Korea Petrochemical Ind. Co.,NCC,E-cracker,900,900,-2.0288999999999993,-1826.0099999999993,inf,226800.0,2028,6,2.9188,4.947699999999999,-14.9555874
C4_LT_ElecCompr_Yeosu_Hanwha_Chemical,C4_LT_ElecCompr,Yeosu_Hanwha_Chemical,Yeosu,Hanwha Chemical,C4,Electric motor,150,150,-0.28313999999999995,-42.47099999999999,inf,5700.0,2023,9,1.33176,1.6149,-14.9980584
C4_LT_HeatPump_Ulsan_SK_Innovation,C4_LT_HeatPump,Ulsan_SK_Innovation,Ulsan,SK Innovation,C4,Heat pump,100,100,-0.3525900000000002,-35.259000000000015,inf,4500.0,2024,9,1.33176,1.6843500000000002,-15.0333174
C4_MT_ElecHeater_Yeosu_GS_Caltex,C4_MT_ElecHeater,Yeosu_GS_Caltex,Yeosu,GS Caltex,C4,Electric heater,200,200,-0.8535300000000001,-170.70600000000002,inf,13000.0,2026,8,1.21196,2.06549,-15.2040234
C4_MT_HeatPump_Yeosu_GS_Caltex,C4_MT_HeatPump,Yeosu_GS_Caltex,Yeosu,GS Caltex,C4,Heat pump,200,200,-0.35321999999999987,-70.64399999999998,inf,17000.0,2027,7,1.21196,1.5651799999999998,-15.2746674
BTX_LT_ElecCompr_Yeosu_GS_Caltex,BTX_LT_ElecCompr,Yeosu_GS_Caltex,Yeosu,GS Caltex,BTX,Electric motor,600,600,-0.21369000000000016,-128.21400000000008,inf,19200.0,2023,9,1.5694399999999997,1.7831299999999999,-15.4028814
BTX_LT_HeatPump_Yeosu_GS_Caltex,BTX_LT_HeatPump,Yeosu_GS_Caltex,Yeosu,GS Caltex,BTX,Heat pump,600,600,-0.2970300000000001,-178.21800000000007,inf,24000.0,2024,9,1.5694399999999997,1.8664699999999999,-15.581099400000001
BTX_MT_ElecHeater_Yeosu_GS_Caltex,BTX_MT_ElecHeater,Yeosu_GS_Caltex,Yeosu,GS Caltex,BTX,Electric heater,600,600,-0.6964500000000005,-417.8700000000003,inf,33000.0,2025,9,1.5299199999999997,2.22637,-15.998969400000002
BTX_MT_HeatPump_Yeosu_GS_Caltex,BTX_MT_HeatPump,Yeosu_GS_Caltex,Yeosu,GS Caltex,BTX,Heat pump,600,600,-0.07674000000000025,-46.04400000000015,inf,42000.0,2026,8,1.5299199999999997,1.60666,-16.045013400000002
BTX_HT_Electric_Yeosu_GS_Caltex,BTX_HT_Electric,Yeosu_GS_Caltex,Yeosu,GS Caltex,BTX,Electric furnace,600,600,-1.5579299999999998,-934.7579999999999,inf,132000.0,2030,5,1.8992199999999997,3.4571499999999995,-16.9797714
NCC_LT_ElecCompr_Yeosu_GS_Caltex,NCC_LT_ElecCompr,Yeosu_GS_Caltex,Yeosu,GS Caltex,NCC,Electric motor,900,900,-0.2887500000000003,-259.8750000000002,inf,31500.0,2023,9,2.04195,2.3307,-17.2396464
NCC_LT_HeatPump_Yeosu_GS_Caltex,NCC_LT_HeatPump,Yeosu_GS_Caltex,Yeosu,GS Caltex,NCC,Heat pump,900,900,-0.3443100000000001,-309.87900000000013,inf,40500.0,2024,9,2.04195,2.38626,-17.549525400000004
NCC_MT_ElecHeater_Yeosu_GS_Caltex,NCC_MT_ElecHeater,Yeosu_GS_Caltex,Yeosu,GS Caltex,NCC,Electric heater,900,900,-1.07178,-964.602,inf,54000.0,2025,9,1.9121199999999998,2.9838999999999998,-18.5141274
NCC_MT_HeatPump_Yeosu_GS_Caltex,NCC_MT_HeatPump,Yeosu_GS_Caltex,Yeosu,GS Caltex,NCC,Heat pump,900,900,-0.22367999999999988,-201.3119999999999,inf,72000.0,2026,8,1.9121199999999998,2.1357999999999997,-18.715439400000005
NCC_HT_Electric_Yeosu_GS_Caltex,NCC_HT_Electric,Yeosu_GS_Caltex,Yeosu,GS Caltex,NCC,E-cracker,900,900,-2.0288999999999993,-1826.0099999999993,inf,252000.0,2028,6,2.9188,4.947699999999999,-20.5414494
C4_LT_ElecCompr_Yeosu_LG_Chem,C4_LT_ElecCompr,Yeosu_LG_Chem,Yeosu,LG Chem,C4,Electric motor,300,300,-0.28313999999999995,-84.94199999999998,inf,11400.0,2023,9,1.33176,1.6149,-20.6263914
C4_LT_HeatPump_Yeosu_LG_Chem,C4_LT_HeatPump,Yeosu_LG_Chem,Yeosu,LG Chem,C4,Heat pump,300,300,-0.3525900000000002,-105.77700000000006,inf,15000.0,2024,9,1.33176,1.6843500000000002,-20.732168400000003
C4_MT_ElecHeater_Yeosu_LG_Chem,C4_MT_ElecHeater,Yeosu_LG_Chem,Yeosu,LG Chem,C4,Electric heater,300,300,-0.8535300000000001,-256.059,inf,19500.0,2026,8,1.21196,2.06549,-20.988227400000003
C4_MT_HeatPump_Yeosu_LG_Chem,C4_MT_HeatPump,Yeosu_LG_Chem,Yeosu,LG Chem,C4,Heat pump,300,300,-0.35321999999999987,-105.96599999999997,inf,25500.0,2027,7,1.21196,1.5651799999999998,-21.094193400000005
BTX_LT_ElecCompr_Yeosu_LG_Chem,BTX_LT_ElecCompr,Yeosu_LG_Chem,Yeosu,LG Chem,BTX,Electric motor,800,800,-0.21369000000000016,-170.9520000000001,inf,25600.0,2023,9,1.5694399999999997,1.7831299999999999,-21.265145400000005
BTX_LT_HeatPump_Yeosu_LG_Chem,BTX_LT_HeatPump,Yeosu_LG_Chem,Yeosu,LG Chem,BTX,Heat pump,800,800,-0.2970300000000001,-237.6240000000001,inf,32000.0,2024,9,1.5694399999999997,1.8664699999999999,-21.502769400000005
BTX_MT_ElecHeater_Yeosu_LG_Chem,BTX_MT_ElecHeater,Yeosu_LG_Chem,Yeosu,LG Chem,BTX,Electric heater,800,800,-0.6964500000000005,-557.1600000000003,inf,44000.0,2025,9,1.5299199999999997,2.22637,-22.059929400000005
BTX_MT_HeatPump_Yeosu_LG_Chem,BTX_MT_HeatPump,Yeosu_LG_Chem,Yeosu,LG Chem,BTX,Heat pump,800,800,-0.07674000000000025,-61.3920000000002,inf,56000.0,2026,8,1.5299199999999997,1.60666,-22.121321400000003
BTX_HT_Electric_Yeosu_LG_Chem,BTX_HT_Electric,Yeosu_LG_Chem,Yeosu,LG Chem,BTX,Electric furnace,800,800,-1.5579299999999998,-1246.3439999999998,inf,176000.0,2030,5,1.8992199999999997,3.4571499999999995,-23.367665400000007
NCC_LT_ElecCompr_Yeosu_LG_Chem,NCC_LT_ElecCompr,Yeosu_LG_Chem,Yeosu,LG Chem,NCC,Electric motor,3380,3380,-0.2887500000000003,-975.9750000000009,inf,118300.0,2023,9,2.04195,2.3307,-24.34364040000001
NCC_LT_HeatPump_Yeosu_LG_Chem,NCC_LT_HeatPump,Yeosu_LG_Chem,Yeosu,LG Chem,NCC,Heat pump,3380,3380,-0.3443100000000001,-1163.7678000000003,inf,152100.0,2024,9,2.04195,2.38626,-25.507408200000008
NCC_MT_ElecHeater_Yeosu_LG_Chem,NCC_MT_ElecHeater,Yeosu_LG_Chem,Yeosu,LG Chem,NCC,Electric heater,3380,3380,-1.07178,-3622.6164,inf,202800.0,2025,9,1.9121199999999998,2.9838999999999998,-29.13002460000001
NCC_MT_HeatPump_Yeosu_LG_Chem,NCC_MT_HeatPump,Yeosu_LG_Chem,Yeosu,LG Chem,NCC,Heat pump,3380,3380,-0.22367999999999988,-756.0383999999996,inf,270400.0,2026,8,1.9121199999999998,2.1357999999999997,-29.88606300000001
C4_LT_HeatPump_Yeosu_GS_Caltex,C4_LT_HeatPump,Yeosu_GS_Caltex,Yeosu,GS Caltex,C4,Heat pump,200,200,-0.3525900000000002,-70.51800000000003,inf,10000.0,2024,9,1.33176,1.6843500000000002,-29.95658100000001
NCC_HT_Electric_Daesan_HD_Hyundai,NCC_HT_Electric,Daesan_HD_Hyundai,Daesan,HD Hyundai Chemical,NCC,E-cracker,850,850,-2.0288999999999993,-1724.5649999999994,inf,226100.0,2028,6,2.9188,4.947699999999999,-31.68114600000001
C4_LT_ElecCompr_Yeosu_GS_Caltex,C4_LT_ElecCompr,Yeosu_GS_Caltex,Yeosu,GS Caltex,C4,Electric motor,200,200,-0.28313999999999995,-56.627999999999986,inf,7600.0,2023,9,1.33176,1.6149,-31.73777400000001
NCC_MT_HeatPump_Yeosu_Lotte_Chemical,NCC_MT_HeatPump,Yeosu_Lotte_Chemical,Yeosu,Lotte Chemical,NCC,Heat pump,1000,1000,-0.22367999999999988,-223.6799999999999,inf,80000.0,2026,8,1.9121199999999998,2.1357999999999997,-31.96145400000001
C4_LT_HeatPump_Yeosu_Hanwha_Chemical,C4_LT_HeatPump,Yeosu_Hanwha_Chemical,Yeosu,Hanwha Chemical,C4,Heat pump,150,150,-0.3525900000000002,-52.88850000000003,inf,7500.0,2024,9,1.33176,1.6843500000000002,-32.01434250000001
C4_MT_ElecHeater_Yeosu_Hanwha_Chemical,C4_MT_ElecHeater,Yeosu_Hanwha_Chemical,Yeosu,Hanwha Chemical,C4,Electric heater,150,150,-0.8535300000000001,-128.0295,inf,9750.0,2026,8,1.21196,2.06549,-32.14237200000001
C4_MT_HeatPump_Yeosu_Hanwha_Chemical,C4_MT_HeatPump,Yeosu_Hanwha_Chemical,Yeosu,Hanwha Chemical,C4,Heat pump,150,150,-0.35321999999999987,-52.98299999999998,inf,12750.0,2027,7,1.21196,1.5651799999999998,-32.19535500000001
BTX_LT_ElecCompr_Yeosu_Hanwha_Chemical,BTX_LT_ElecCompr,Yeosu_Hanwha_Chemical,Yeosu,Hanwha Chemical,BTX,Electric motor,400,400,-0.21369000000000016,-85.47600000000006,inf,12800.0,2023,9,1.5694399999999997,1.7831299999999999,-32.280831000000006
BTX_LT_HeatPump_Yeosu_Hanwha_Chemical,BTX_LT_HeatPump,Yeosu_Hanwha_Chemical,Yeosu,Hanwha Chemical,BTX,Heat pump,400,400,-0.2970300000000001,-118.81200000000005,inf,16000.0,2024,9,1.5694399999999997,1.8664699999999999,-32.39964300000001
BTX_MT_ElecHeater_Yeosu_Hanwha_Chemical,BTX_MT_ElecHeater,Yeosu_Hanwha_Chemical,Yeosu,Hanwha Chemical,BTX,Electric heater,400,400,-0.6964500000000005,-278.58000000000015,inf,22000.0,2025,9,1.5299199999999997,2.22637,-32.67822300000001
BTX_MT_HeatPump_Yeosu_Hanwha_Chemical,BTX_MT_HeatPump,Yeosu_Hanwha_Chemical,Yeosu,Hanwha Chemical,BTX,Heat pump,400,400,-0.07674000000000025,-30.6960000000001,inf,28000.0,2026,8,1.5299199999999997,1.60666,-32.708919000000016
BTX_HT_Electric_Yeosu_Hanwha_Chemical,BTX_HT_Electric,Yeosu_Hanwha_Chemical,Yeosu,Hanwha Chemical,BTX,Electric furnace,400,400,-1.5579299999999998,-623.1719999999999,inf,88000.0,2030,5,1.8992199999999997,3.4571499999999995,-33.33209100000001
NCC_LT_ElecCompr_Yeosu_Hanwha_Chemical,NCC_LT_ElecCompr,Yeosu_Hanwha_Chemical,Yeosu,Hanwha Chemical,NCC,Electric motor,850,850,-0.2887500000000003,-245.43750000000023,inf,29750.0,2023,9,2.04195,2.3307,-33.577528500000014
NCC_LT_HeatPump_Yeosu_Hanwha_Chemical,NCC_LT_HeatPump,Yeosu_Hanwha_Chemical,Yeosu,Hanwha Chemical,NCC,Heat pump,850,850,-0.3443100000000001,-292.6635000000001,inf,38250.0,2024,9,2.04195,2.38626,-33.87019200000002
NCC_MT_ElecHeater_Yeosu_Hanwha_Chemical,NCC_MT_ElecHeater,Yeosu_Hanwha_Chemical,Yeosu,Hanwha Chemical,NCC,Electric heater,850,850,-1.07178,-911.0129999999999,inf,51000.0,2025,9,1.9121199999999998,2.9838999999999998,-34.781205000000014
NCC_MT_HeatPump_Yeosu_Hanwha_Chemical,NCC_MT_HeatPump,Yeosu_Hanwha_Chemical,Yeosu,Hanwha Chemical,NCC,Heat pump,850,850,-0.22367999999999988,-190.1279999999999,inf,68000.0,2026,8,1.9121199999999998,2.1357999999999997,-34.971333000000016
NCC_HT_Electric_Yeosu_Hanwha_Chemical,NCC_HT_Electric,Yeosu_Hanwha_Chemical,Yeosu,Hanwha Chemical,NCC,E-cracker,850,850,-2.0288999999999993,-1724.5649999999994,inf,238000.0,2028,6,2.9188,4.947699999999999,-36.695898000000014
C4_LT_ElecCompr_Yeosu_Lotte_Chemical,C4_LT_ElecCompr,Yeosu_Lotte_Chemical,Yeosu,Lotte Chemical,C4,Electric motor,250,250,-0.28313999999999995,-70.78499999999998,inf,9500.0,2023,9,1.33176,1.6149,-36.76668300000002
C4_LT_HeatPump_Yeosu_Lotte_Chemical,C4_LT_HeatPump,Yeosu_Lotte_Chemical,Yeosu,Lotte Chemical,C4,Heat pump,250,250,-0.3525900000000002,-88.14750000000005,inf,12500.0,2024,9,1.33176,1.6843500000000002,-36.85483050000002
C4_MT_ElecHeater_Yeosu_Lotte_Chemical,C4_MT_ElecHeater,Yeosu_Lotte_Chemical,Yeosu,Lotte Chemical,C4,Electric heater,250,250,-0.8535300000000001,-213.38250000000002,inf,16250.0,2026,8,1.21196,2.06549,-37.06821300000002
C4_MT_HeatPump_Yeosu_Lotte_Chemical,C4_MT_HeatPump,Yeosu_Lotte_Chemical,Yeosu,Lotte Chemical,C4,Heat pump,250,250,-0.35321999999999987,-88.30499999999996,inf,21250.0,2027,7,1.21196,1.5651799999999998,-37.15651800000002
BTX_LT_ElecCompr_Yeosu_Lotte_Chemical,BTX_LT_ElecCompr,Yeosu_Lotte_Chemical,Yeosu,Lotte Chemical,BTX,Electric motor,700,700,-0.21369000000000016,-149.5830000000001,inf,22400.0,2023,9,1.5694399999999997,1.7831299999999999,-37.30610100000002
BTX_LT_HeatPump_Yeosu_Lotte_Chemical,BTX_LT_HeatPump,Yeosu_Lotte_Chemical,Yeosu,Lotte Chemical,BTX,Heat pump,700,700,-0.2970300000000001,-207.92100000000008,inf,28000.0,2024,9,1.5694399999999997,1.8664699999999999,-37.51402200000002
BTX_MT_ElecHeater_Yeosu_Lotte_Chemical,BTX_MT_ElecHeater,Yeosu_Lotte_Chemical,Yeosu,Lotte Chemical,BTX,Electric heater,700,700,-0.6964500000000005,-487.5150000000003,inf,38500.0,2025,9,1.5299199999999997,2.22637,-38.00153700000002
BTX_MT_HeatPump_Yeosu_Lotte_Chemical,BTX_MT_HeatPump,Yeosu_Lotte_Chemical,Yeosu,Lotte Chemical,BTX,Heat pump,700,700,-0.07674000000000025,-53.718000000000174,inf,49000.0,2026,8,1.5299199999999997,1.60666,-38.05525500000002
BTX_HT_Electric_Yeosu_Lotte_Chemical,BTX_HT_Electric,Yeosu_Lotte_Chemical,Yeosu,Lotte Chemical,BTX,Electric furnace,700,700,-1.5579299999999998,-1090.551,inf,154000.0,2030,5,1.8992199999999997,3.4571499999999995,-39.14580600000002
NCC_LT_ElecCompr_Yeosu_Lotte_Chemical,NCC_LT_ElecCompr,Yeosu_Lotte_Chemical,Yeosu,Lotte Chemical,NCC,Electric motor,1000,1000,-0.2887500000000003,-288.7500000000003,inf,35000.0,2023,9,2.04195,2.3307,-39.43455600000002
NCC_LT_HeatPump_Yeosu_Lotte_Chemical,NCC_LT_HeatPump,Yeosu_Lotte_Chemical,Yeosu,Lotte Chemical,NCC,Heat pump,1000,1000,-0.3443100000000001,-344.3100000000001,inf,45000.0,2024,9,2.04195,2.38626,-39.778866000000015
NCC_MT_ElecHeater_Yeosu_Lotte_Chemical,NCC_MT_ElecHeater,Yeosu_Lotte_Chemical,Yeosu,Lotte Chemical,NCC,Electric heater,1000,1000,-1.07178,-1071.78,inf,60000.0,2025,9,1.9121199999999998,2.9838999999999998,-40.85064600000001
NCC_HT_Electric_Yeosu_Lotte_Chemical,NCC_HT_Electric,Yeosu_Lotte_Chemical,Yeosu,Lotte Chemical,NCC,E-cracker,1000,1000,-2.0288999999999993,-2028.8999999999992,inf,280000.0,2028,6,2.9188,4.947699999999999,-42.87954600000002
C4_LT_ElecCompr_Ulsan_SK_Innovation,C4_LT_ElecCompr,Ulsan_SK_Innovation,Ulsan,SK Innovation,C4,Electric motor,100,100,-0.28313999999999995,-28.313999999999993,inf,3420.0000000000005,2023,9,1.33176,1.6149,-42.907860000000014
