FacilityID,Company,Location,Product,TechID,TransitionFraction,CapacityTransitioned_kt,EmissionsBefore_ktCO2,EmissionsAfter_ktCO2,AbatementMtCO2,AnnualCostUSD,CostPerTonCO2,StartYear,FacilityAge
롯데케미칼_대산_Ethylene_1991,롯데케미칼,대산,Ethylene,EE_001,1.0,1100.0,1308.8088206914956,935.7983067944197,0.37301051389707596,-25737725.45889824,-69,1991,39
한화토탈에너지스_대산_Ethylene_1991,한화토탈에너지스,대산,Ethylene,EE_001,1.0,1525.0,1814.4849559586648,1297.3567435104455,0.5171282124482193,-35681846.65892713,-69,1991,39
롯데케미칼_여수_Ethylene_1992,롯데케미칼,여수,Ethylene,EE_001,1.0,1230.0,1463.486226773218,1046.3926521428511,0.4170935746303669,-28779456.649495315,-69,1992,38
HD현대케미칼_대산_Ethylene_2021,HD현대케미칼,대산,Ethylene,EE_001,1.0,850.0,1011.3522705343375,723.1168734320515,0.288235397102286,-19888242.400057733,-69,2021,9
LG화학_대산_Ethylene_1991,LG화학,대산,Ethylene,EE_001,1.0,1300.0,1546.774060817222,1105.943453484314,0.44083060733290813,-30417311.90597066,-69,1991,39
여천NCC_여수_Ethylene_1979,여천NCC,여수,Ethylene,EE_001,1.0,2285.0,2718.7528684364247,1943.9083009320443,0.7748445675043804,-53464275.15780224,-69,1979,51
GS칼텍스_여수_Ethylene_2021,GS칼텍스,여수,Ethylene,EE_001,1.0,900.0,1070.8435805657691,765.6531601045251,0.305190420461244,-21058139.011825837,-69,2021,9
대한유화_온산_Ethylene_1991,대한유화,온산,Ethylene,EE_001,1.0,900.0,1070.8435805657691,765.6531601045251,0.305190420461244,-21058139.011825837,-69,1991,39
SK지오센트릭_울산_Ethylene_1989,SK지오센트릭,울산,Ethylene,EE_001,1.0,660.0,785.2852924148975,561.4789840766517,0.2238063083382458,-15442635.275338959,-69,1989,41
LG화학_여수_Ethylene_2021,LG화학,여수,Ethylene,EE_001,1.0,1030.0,1225.520986647491,876.2475054529563,0.34927348119453483,-24099870.202422902,-69,2021,9
S-Oil_온산_Ethylene_2018,S-Oil,온산,Ethylene,EE_001,1.0,182.0,216.54836851441107,154.8320834878039,0.06171628502660715,-4258423.666835894,-69,2018,12
롯데케미칼_울산_M-X_1998,롯데케미칼,울산,M-X,EE_001,1.0,360.0,418.6088532917559,299.3053301036055,0.11930352318815039,-8231943.099982377,-69,1998,32
롯데케미칼_울산_O-X_1980,롯데케미칼,울산,O-X,EE_001,1.0,210.0,214.40941266163108,153.3027300530662,0.06110668260856488,-4216361.099990976,-69,1980,50
SK지오센트릭_울산_O-X_1990,SK지오센트릭,울산,O-X,EE_001,1.0,200.0,204.19944063012483,146.00260005053926,0.05819684057958557,-4015581.9999914044,-69,1990,40
롯데케미칼_대산_LDPE_2005,롯데케미칼,대산,LDPE,EE_001,1.0,500.0,389.0416852153865,278.1648049290014,0.11087688028638513,-7650504.739760574,-69,2005,25
HD현대케미칼_대산_LDPE_2021,HD현대케미칼,대산,LDPE,EE_001,1.0,300.0,233.4250111292319,166.89888295740082,0.0665261281718311,-4590302.843856345,-69,2021,9
LG화학_대산_LDPE_2006,LG화학,대산,LDPE,EE_001,1.0,280.0,217.86334372061643,155.77229076024076,0.06209105296037566,-4284282.654265921,-69,2006,24
LG화학_여수_LDPE_1990,LG화학,여수,LDPE,EE_001,1.0,180.0,140.05500667753915,100.1393297744405,0.039915676903098656,-2754181.7063138075,-69,1990,40
한화솔루션_여수_LDPE_1979,한화솔루션,여수,LDPE,EE_001,1.0,337.0,262.2140958351705,187.4830785221469,0.07473101731302359,-5156440.194598628,-69,1979,51
롯데케미칼_울산_LDPE_1972,롯데케미칼,울산,LDPE,EE_001,1.0,120.0,93.37000445169278,66.75955318296033,0.026610451268732446,-1836121.1375425388,-69,1972,58
한화토탈에너지스_대산_LDPE_1991,한화토탈에너지스,대산,LDPE,EE_001,1.0,435.0,338.46626613738624,242.0033802882312,0.09646288584915505,-6655939.123591699,-69,1991,39
HD현대오일뱅크_대산_Propylene_2011,HD현대오일뱅크,대산,Propylene,EE_001,1.0,420.0,267.69970555334856,191.40528947064425,0.07629441608270432,-5264314.709706598,-69,2011,19
롯데케미칼_대산_Propylene_1997,롯데케미칼,대산,Propylene,EE_001,1.0,550.0,350.5591382246231,250.64978383060557,0.09990935439401753,-6893745.45318721,-69,1997,33
효성화학_울산_Propylene_1991,효성화학,울산,Propylene,EE_001,1.0,500.0,318.69012565874834,227.86343984600506,0.09082668581274328,-6267041.321079287,-69,1991,39
롯데케미칼_여수_Propylene_1992,롯데케미칼,여수,Propylene,EE_001,1.0,641.0,408.5607410945153,292.1209298825785,0.11643981121193685,-8034346.973623644,-69,1992,38
대한유화_온산_Propylene_1991,대한유화,온산,Propylene,EE_001,1.0,560.0,356.9329407377981,255.20705262752568,0.10172588811027242,-7019086.279608797,-69,1991,39
S-Oil_온산_Propylene_2018,S-Oil,온산,Propylene,EE_001,1.0,840.0,535.3994111066971,382.8105789412885,0.15258883216540864,-10528629.419413196,-69,2018,12
SK에너지_울산_Propylene_1996,SK에너지,울산,Propylene,EE_001,1.0,620.0,395.1757558168478,282.5506654090463,0.11262509040780151,-7771131.238138304,-69,1996,34
SK지오센트릭_울산_Propylene_1989,SK지오센트릭,울산,Propylene,EE_001,1.0,380.0,242.20449550064868,173.17621428296383,0.06902828121768485,-4762951.4040202545,-69,1989,41
태광산업_울산_Propylene_1997,태광산업,울산,Propylene,EE_001,1.0,300.0,191.21407539524895,136.71806390760304,0.054496011487645914,-3760224.792647568,-69,1997,33
LG화학_여수_Propylene_2021,LG화학,여수,Propylene,EE_001,1.0,1300.0,828.5943267127454,592.4449435996131,0.23614938311313233,-16294307.434806133,-69,2021,9
여천NCC_여수_Propylene_1979,여천NCC,여수,Propylene,EE_001,1.0,1289.0,821.5831439482532,587.431947923001,0.23415119602525225,-16156432.525742406,-69,1979,51
GS칼텍스_여수_Propylene_2021,GS칼텍스,여수,Propylene,EE_001,1.0,970.0,618.2588437779716,442.05507330124976,0.17620377047672184,-12158060.162893808,-69,2021,9
SK어드밴스드_울산_Propylene_2016,SK어드밴스드,울산,Propylene,EE_001,1.0,600.0,382.4281507904979,273.4361278152061,0.10899202297529183,-7520449.585295136,-69,2016,14
LG화학_대산_Propylene_1991,LG화학,대산,Propylene,EE_001,1.0,680.0,433.4185708958977,309.89427819056687,0.12352429270533082,-8523176.196667826,-69,1991,39
한화토탈에너지스_대산_Propylene_1991,한화토탈에너지스,대산,Propylene,EE_001,1.0,1064.0,678.1725874018163,484.8933999922987,0.19327918740951752,-13336263.93125671,-69,1991,39
HD현대케미칼_대산_Propylene_2021,HD현대케미칼,대산,Propylene,EE_001,1.0,451.0,287.4584933441909,205.53282274109654,0.08192567060309437,-5652871.271613511,-69,2021,9
한화토탈에너지스_대산_L-LDPE_2004,한화토탈에너지스,대산,L-LDPE,EE_001,1.0,530.0,327.7144641722758,234.31584188317717,0.09339862228909865,-6444504.937947807,-69,2004,26
LG화학_대산_L-LDPE_2006,LG화학,대산,L-LDPE,EE_001,1.0,125.0,77.2911472104424,55.263170255466314,0.02202797695497609,-1519930.4098933502,-69,2006,24
SK지오센트릭_울산_L-LDPE_1990,SK지오센트릭,울산,L-LDPE,EE_001,1.0,550.0,340.0810477259465,243.15794912405178,0.09692309860189474,-6687693.803530738,-69,1990,40
롯데케미칼_여수_L-LDPE_2019,롯데케미칼,여수,L-LDPE,EE_001,1.0,600.0,370.9975066101234,265.26321722623834,0.10573428938388509,-7295665.967488071,-69,2019,11
한화솔루션_여수_L-LDPE_1986,한화솔루션,여수,L-LDPE,EE_001,1.0,288.0,178.0788031728593,127.3263442685944,0.0507524589042649,-3501919.664394278,-69,1986,44
LG화학_여수_L-LDPE_2021,LG화학,여수,L-LDPE,EE_001,1.0,425.0,262.78990051550414,187.89477886858546,0.07489512164691868,-5167763.393637389,-69,2021,9
DL케미칼_여수_L-LDPE_2010,DL케미칼,여수,L-LDPE,EE_001,1.0,10.0,6.183291776835391,4.421053620437305,0.0017622381563980865,-121594.43279146796,-69,2010,20
SSNC_울산_L-LDPE_2015,SSNC,울산,L-LDPE,EE_001,1.0,180.0,111.29925198303702,79.57896516787149,0.03172028681516554,-2188699.7902464224,-69,2015,15
HD현대케미칼_대산_HDPE_2021,HD현대케미칼,대산,HDPE,EE_001,1.0,575.0,334.77064067143215,239.36100808007393,0.09540963259135822,-6583264.648803717,-69,2021,9
DL케미칼_여수_HDPE_1980,DL케미칼,여수,HDPE,EE_001,1.0,630.0,366.7921802139168,262.2564088529506,0.10453577136096624,-7212968.223906671,-69,1980,50
롯데케미칼_여수_HDPE_1992,롯데케미칼,여수,HDPE,EE_001,1.0,360.0,209.5955315508096,149.8608050588289,0.059734726491980694,-4121696.1279466674,-69,1992,38
LG화학_여수_HDPE_1992,LG화학,여수,HDPE,EE_001,1.0,500.0,291.10490493168,208.14000702615124,0.08296489790552874,-5724577.955481484,-69,1992,38
GS칼텍스_여수_HDPE_2021,GS칼텍스,여수,HDPE,EE_001,1.0,650.0,378.4363764111841,270.5820091339966,0.10785436727718746,-7441951.3421259355,-69,2021,9
대한유화_온산_HDPE_1976,대한유화,온산,HDPE,EE_001,1.0,210.0,122.26406007130564,87.41880295098352,0.03484525712032212,-2404322.741302226,-69,1976,54
SK지오센트릭_울산_HDPE_1990,SK지오센트릭,울산,HDPE,EE_001,1.0,490.0,285.28280683304644,203.97720688562822,0.08130559994741822,-5610086.396371857,-69,1990,40
한화토탈에너지스_대산_HDPE_1991,한화토탈에너지스,대산,HDPE,EE_001,1.0,180.0,104.7977657754048,74.93040252941445,0.029867363245990347,-2060848.0639733337,-69,1991,39
금호석유화학_울산_PS_1973,금호석유화학,울산,PS,EE_001,1.0,265.0,154.28559961379042,110.31420372386013,0.04397139588993029,-3034026.31640519,-69,1973,57
LG화학_여수_PS_1984,LG화학,여수,PS,EE_001,1.0,40.0,23.2883923945344,16.651200562092093,0.006637191832442308,-457966.2364385193,-69,1984,46
HDC현대EP_울산_PS_1989,HDC현대EP,울산,PS,EE_001,1.0,148.0,86.16705185977729,61.60944207974075,0.024557609780036536,-1694475.074822521,-69,1989,41
한국이네오스스티롤루션_울산_PS_1985,한국이네오스스티롤루션,울산,PS,EE_001,1.0,266.0,154.86780942365377,110.73048373791242,0.044137325685741344,-3045475.4723161524,-69,1985,45
SK지오센트릭_울산_톨루엔_2070,SK지오센트릭,울산,톨루엔,EE_001,1.0,1506.0,861.2362473461536,615.7839168524998,0.24545233049365378,-16936210.80406211,-69,2070,-40
롯데케미칼_대산_톨루엔_2011,롯데케미칼,대산,톨루엔,EE_001,1.0,120.0,68.62440217897637,49.06644755796811,0.019557954621008258,-1349498.8688495697,-69,2011,19
LG화학_대산_톨루엔_2011,LG화학,대산,톨루엔,EE_001,1.0,100.0,57.18700181581364,40.88870629830676,0.01629829551750688,-1124582.3907079746,-69,2011,19
롯데케미칼_여수_톨루엔_1992,롯데케미칼,여수,톨루엔,EE_001,1.0,220.0,125.81140399479,89.95515385627488,0.03585625013851512,-2474081.2595575433,-69,1992,38
여천NCC_여수_톨루엔_1979,여천NCC,여수,톨루엔,EE_001,1.0,282.0,161.26734512059448,115.30615176122507,0.04596119335936942,-3171322.3417964904,-69,1979,51
GS칼텍스_여수_톨루엔_1990,GS칼텍스,여수,톨루엔,EE_001,1.0,170.0,97.21790308688318,69.51080070712149,0.02770710237976169,-1911790.0642035569,-69,1990,40
대한유화_온산_톨루엔_2008,대한유화,온산,톨루엔,EE_001,1.0,78.0,44.60586141633464,31.893190912679273,0.012712670503655368,-877174.2647522204,-69,2008,22
S-Oil_온산_톨루엔_1991,S-Oil,온산,톨루엔,EE_001,1.0,300.0,171.5610054474409,122.66611889492027,0.04889488655252062,-3373747.1721239225,-69,1991,39
OCI_광양_톨루엔_1995,OCI,광양,톨루엔,EE_001,1.0,40.0,22.874800726325457,16.355482519322702,0.006519318207002755,-449832.9562831901,-69,1995,35
LG화학_여수_톨루엔_1992,LG화학,여수,톨루엔,EE_001,1.0,112.0,64.04944203371127,45.79535105410356,0.01825409097960771,-1259532.277592932,-69,1992,38
한화솔루션_울산_PVC_2066,한화솔루션,울산,PVC,EE_001,1.0,330.0,184.1878954483726,131.69434524558642,0.05249355020278617,-3622054.963992246,-69,2066,-36
LG화학_대산_PVC_1998,LG화학,대산,PVC,EE_001,1.0,240.0,133.9548330533619,95.77770563315376,0.03817712742020815,-2634221.791994362,-69,1998,32
한화솔루션_여수_PVC_1990,한화솔루션,여수,PVC,EE_001,1.0,480.0,267.9096661067238,191.55541126630752,0.0763542548404163,-5268443.583988724,-69,1990,40
LG화학_여수_PVC_1976,LG화학,여수,PVC,EE_001,1.0,450.0,251.16531197505353,179.5831980621633,0.07158211391289024,-4939165.859989426,-69,1976,54
울산아로마틱스_울산_P-X_2014,울산아로마틱스,울산,P-X,EE_001,1.0,1000.0,543.1440172460224,388.34797233090603,0.15479604491511634,-10680927.099143026,-69,2014,16
롯데케미칼_울산_P-X_1980,롯데케미칼,울산,P-X,EE_001,1.0,750.0,407.35801293451686,291.2609792481795,0.11609703368633734,-8010695.324357275,-69,1980,50
S-Oil_온산_P-X_1997,S-Oil,온산,P-X,EE_001,1.0,1900.0,1031.9736327674427,737.8611474287214,0.2941124853387213,-20293761.48837177,-69,1997,33
GS칼텍스_여수_P-X_1990,GS칼텍스,여수,P-X,EE_001,1.0,1350.0,733.2444232821302,524.2697626467232,0.20897466063540707,-14419251.583843086,-69,1990,40
HD현대오일뱅크_대산_P-X_1997,HD현대오일뱅크,대산,P-X,EE_001,1.0,1460.0,792.9902651791926,566.9880396031227,0.22600222557606992,-15594153.564748824,-69,1997,33
한화토탈에너지스_대산_P-X_1997,한화토탈에너지스,대산,P-X,EE_001,1.0,2000.0,1086.288034492045,776.6959446618121,0.3095920898302329,-21361854.19828607,-69,1997,33
SK인천석유화학_인천_P-X_2014,SK인천석유화학,인천,P-X,EE_001,1.0,1500.0,814.7160258690337,582.521958496359,0.23219406737267467,-16021390.64871455,-69,2014,16
SK지오센트릭_울산_P-X_1990,SK지오센트릭,울산,P-X,EE_001,1.0,830.0,450.8095343141986,322.32881703465193,0.12848071727954663,-8865169.492288718,-69,1990,40
LG화학_대산_VCM_1997,LG화학,대산,VCM,EE_001,1.0,230.0,107.15641208358804,76.61683463976546,0.03053957744382258,-2107230.843623758,-69,1997,33
LG화학_여수_VCM_1990,LG화학,여수,VCM,EE_001,1.0,720.0,335.4461595660147,239.84400408970055,0.09560215547631418,-6596548.727865678,-69,1990,40
한화솔루션_여수_VCM_1979,한화솔루션,여수,VCM,EE_001,1.0,583.0,271.61820975970363,194.20701997818807,0.07741118978151557,-5341372.094924574,-69,1979,51
한화솔루션_울산_VCM_1972,한화솔루션,울산,VCM,EE_001,1.0,264.0,122.99692517420542,87.94280149955686,0.03505412367464855,-2418734.53355075,-69,1972,58
한화솔루션_여수_EDC_1980,한화솔루션,여수,EDC,EE_001,1.0,1586.0,716.1959453298002,512.0801009108071,0.2041158444189931,-14083993.264910525,-69,1980,50
LG화학_여수_EDC_1996,LG화학,여수,EDC,EE_001,1.0,810.0,365.7747261772624,261.5289292167426,0.10424579696051978,-7192959.990275865,-69,1996,34
한화솔루션_울산_EDC_1991,한화솔루션,울산,EDC,EE_001,1.0,385.0,173.85588836820497,124.30696018326654,0.04954892818493843,-3418876.0447607515,-69,1991,39
카프로_울산_C-H_2000,카프로,울산,C-H,EE_001,1.0,190.0,76.17609491245531,54.465907862405544,0.02171018705004977,-1498002.9064534341,-69,2000,30
SK지오센트릭_울산_C-H_1974,SK지오센트릭,울산,C-H,EE_001,1.0,160.0,64.14829045259394,45.86602767360467,0.01828226277898927,-1261476.1317502595,-69,1974,56
LG화학_여수_Butadiene_1991,LG화학,여수,Butadiene,EE_001,1.0,306.0,116.98110420755916,83.64148950840482,0.03333961469915434,-2300433.4142416497,-69,1991,39
금호석유화학_울산_Butadiene_1979,금호석유화학,울산,Butadiene,EE_001,1.0,90.0,34.406207119870345,24.6004380907073,0.009805769029163046,-676598.0630122501,-69,1979,51
대한유화_울산_Butadiene_2023,대한유화,울산,Butadiene,EE_001,1.0,146.0,55.81451377223412,39.907377347147396,0.015907136425086725,-1097592.413330984,-69,2023,7
SK지오센트릭_울산_Butadiene_1989,SK지오센트릭,울산,Butadiene,EE_001,1.0,130.0,49.69785472870161,35.53396613102166,0.01416388859767995,-977308.3132399165,-69,1989,41
롯데케미칼_여수_Butadiene_2011,롯데케미칼,여수,Butadiene,EE_001,1.0,160.0,61.166590435325055,43.73411216125742,0.017432478274067634,-1202841.0009106668,-69,2011,19
롯데GS화학_여수_Butadiene_2022,롯데GS화학,여수,Butadiene,EE_001,1.0,130.0,49.69785472870161,35.53396613102166,0.01416388859767995,-977308.3132399165,-69,2022,8
금호석유화학_여수_Butadiene_1992,금호석유화학,여수,Butadiene,EE_001,1.0,147.0,56.1968049624549,40.180715548155256,0.016016089414299644,-1105110.1695866755,-69,1992,38
한화토탈에너지스_대산_Butadiene_1991,한화토탈에너지스,대산,Butadiene,EE_001,1.0,150.0,57.34367853311725,41.000730151178836,0.016342948381938414,-1127663.4383537504,-69,1991,39
LG화학_대산_Butadiene_1991,LG화학,대산,Butadiene,EE_001,1.0,200.0,76.45823804415632,54.66764020157178,0.02179059784258454,-1503551.251138333,-69,1991,39
HD현대케미칼_대산_Butadiene_2021,HD현대케미칼,대산,Butadiene,EE_001,1.0,163.0,62.3134640059874,44.554126764281,0.017759337241706398,-1225394.2696777415,-69,2021,9
롯데케미칼_대산_Butadiene_1997,롯데케미칼,대산,Butadiene,EE_001,1.0,190.0,72.63532614194851,51.934258191493186,0.020701067950455326,-1428373.6885814175,-69,1997,33
여천NCC_여수_Butadiene_1992,여천NCC,여수,Butadiene,EE_001,1.0,378.0,144.50606990345548,103.32183998097065,0.041184229922484834,-2841711.8646514537,-69,1992,38
여천NCC_여수_자일렌_1979,여천NCC,여수,자일렌,EE_001,1.0,204.0,73.32244367903682,52.425547230511334,0.02089689644852549,-1441885.8549482587,-69,1979,51
대한유화_온산_자일렌_2008,대한유화,온산,자일렌,EE_001,1.0,47.0,16.892915945660448,12.078434901147219,0.00481448104451323,-332199.19207141286,-69,2008,22
롯데케미칼_대산_자일렌_2011,롯데케미칼,대산,자일렌,EE_001,1.0,60.0,21.565424611481426,15.419278597209216,0.00614614601427221,-424084.0749847825,-69,2011,19
GS칼텍스_여수_자일렌_1990,GS칼텍스,여수,자일렌,EE_001,1.0,350.0,125.79831023364156,89.94579181705376,0.0358525184165878,-2473823.7707445584,-69,1990,40
HD현대케미칼_대산_자일렌_2016,HD현대케미칼,대산,자일렌,EE_001,1.0,1350.0,485.2220537583319,346.9337684372074,0.13828828532112453,-9541891.687157592,-69,2016,14
롯데케미칼_여수_자일렌_1992,롯데케미칼,여수,자일렌,EE_001,1.0,79.0,28.394475738450534,20.302050152992134,0.0080924255854584,-558377.3653966297,-69,1992,38
LG화학_여수_자일렌_1992,LG화학,여수,자일렌,EE_001,1.0,60.0,21.565424611481426,15.419278597209216,0.00614614601427221,-424084.0749847825,-69,1992,38
S-Oil_온산_자일렌_1991,S-Oil,온산,자일렌,EE_001,1.0,450.0,161.74068458611063,115.6445894790691,0.04609609510704153,-3180630.562385866,-69,1991,39
SK지오센트릭_울산_자일렌_2070,SK지오센트릭,울산,자일렌,EE_001,1.0,894.0,321.3248267110731,229.74725109841728,0.09157757561265584,-6318852.717273253,-69,2070,-40
HD현대케미칼_대산_PP_2021,HD현대케미칼,대산,PP,EE_001,1.0,380.0,134.94347153958876,96.48458215080596,0.038458889388782794,-2653663.3678260124,-69,2021,9
LG화학_대산_PP_2006,LG화학,대산,PP,EE_001,1.0,1117.0,396.6627834466332,283.6138901643428,0.11304889328229041,-7800373.6364780385,-69,2006,24
롯데케미칼_대산_PP_2005,롯데케미칼,대산,PP,EE_001,1.0,500.0,177.5571993941957,126.95339756684996,0.05060380182734574,-3491662.326086856,-69,2005,25
한화토탈에너지스_대산_PP_1991,한화토탈에너지스,대산,PP,EE_001,1.0,600.0,213.06863927303488,152.34407708021993,0.06072456219281494,-4189994.7913042307,-69,1991,39
롯데케미칼_여수_PP_1979,롯데케미칼,여수,PP,EE_001,1.0,180.0,63.92059178191046,45.703223124065985,0.018217368657844474,-1256998.4373912688,-69,1979,51
S-Oil_온산_PP_2018,S-Oil,온산,PP,EE_001,1.0,550.0,195.3129193336153,139.64873732353496,0.05566418201008034,-3840828.558695543,-69,2018,12
대한유화_온산_PP_1976,대한유화,온산,PP,EE_001,1.0,432.0,153.4094202765851,109.68773549775835,0.04372168477882676,-3016796.249739046,-69,1976,54
SK지오센트릭_울산_PP_1990,SK지오센트릭,울산,PP,EE_001,1.0,400.0,142.04575951535656,101.56271805347995,0.04048304146187661,-2793329.8608694864,-69,1990,40
울산피피_울산_PP_2021,울산피피,울산,PP,EE_001,1.0,600.0,213.06863927303488,152.34407708021993,0.06072456219281494,-4189994.7913042307,-69,2021,9
폴리미래_여수_PP_1993,폴리미래,여수,PP,EE_001,1.0,405.0,143.82133150929852,102.83225202914842,0.0409890794801501,-2828246.484130357,-69,1993,37
GS칼텍스_여수_PP_1987,GS칼텍스,여수,PP,EE_001,1.0,730.0,259.2335111155257,185.35196044760085,0.07388155066792484,-5097826.996086814,-69,1987,43
효성화학_울산_TPA_1997,효성화학,울산,TPA,EE_001,1.0,420.0,143.23354945188564,102.41198785809824,0.040821561593787394,-2816687.74997133,-69,1997,33
태광산업_울산_TPA_1980,태광산업,울산,TPA,EE_001,1.0,1000.0,341.0322605997277,243.83806632880533,0.09719419427092237,-6706399.404693644,-69,1980,50
한화임팩트_울산_TPA_1995,한화임팩트,울산,TPA,EE_001,1.0,1300.0,443.34193877964606,316.98948622744695,0.12635245255219912,-8718319.22610174,-69,1995,35
삼남석유화학_여수_TPA_1990,삼남석유화학,여수,TPA,EE_001,1.0,1500.0,511.54839089959154,365.757099493208,0.14579129140638356,-10059599.107040465,-69,1990,40
한화임팩트_대산_TPA_1997,한화임팩트,대산,TPA,EE_001,1.0,700.0,238.72258241980936,170.68664643016373,0.06803593598964562,-4694479.583285548,-69,1997,33
롯데케미칼_대산_벤젠_2011,롯데케미칼,대산,벤젠,EE_001,1.0,240.0,77.56005516471033,55.4554394427679,0.022104615721942437,-1525218.4848140283,-69,2011,19
OCI_광양_벤젠_1995,OCI,광양,벤젠,EE_001,1.0,200.0,64.63337930392527,46.21286620230655,0.018420513101618716,-1271015.4040116915,-69,1995,35
SK지오센트릭_울산_벤젠_1972,SK지오센트릭,울산,벤젠,EE_001,1.0,603.0,194.86963860133463,139.33179159995424,0.05553784700138038,-3832111.4430952463,-69,1972,58
대한유화_온산_벤젠_2008,대한유화,온산,벤젠,EE_001,1.0,210.0,67.86504826912152,48.52350951242188,0.019341538756699635,-1334566.1742122748,-69,2008,22
여천NCC_여수_벤젠_1979,여천NCC,여수,벤젠,EE_001,1.0,457.0,147.6872717094692,105.59639927227047,0.04209087243719872,-2904270.1981667117,-69,1979,51
LG화학_여수_벤젠_1992,LG화학,여수,벤젠,EE_001,1.0,630.0,203.59514480736456,145.57052853726563,0.05802461627009893,-4003698.522636826,-69,1992,38
롯데케미칼_여수_벤젠_1992,롯데케미칼,여수,벤젠,EE_001,1.0,235.0,75.94422068211217,54.3001177877102,0.021644102894401974,-1493443.0997137362,-69,1992,38
